Age,Amount,Age Index
0,47,10
1,53,20
2,67,30
3,59,40
4,57,50
5,50,60
6,47,70
7,64,80
8,44,90
9,76,100
10,81,110
11,82,120
12,88,130
13,149,140
14,184,150
15,249,160
16,360,170
17,378,180
18,362,190
19,497,200
20,535,210
21,552,220
22,589,230
23,549,240
24,459,250
25,457,260
26,362,270
27,327,280
28,297,290
29,207,300
30,237,310
31,156,320
32,180,330
33,152,340
34,134,350
35,141,360
36,121,370
37,85,380
38,91,390
39,82,400
40,101,410
41,66,420
42,65,430
43,62,440
44,57,450
45,72,460
46,43,470
47,44,480
48,54,490
49,42,500
50,60,510
51,34,520
52,36,530
53,34,540
54,38,550
55,38,560
56,27,570
57,23,580
58,31,590
59,17,600
60,19,610
61,24,620
62,23,630
63,20,640
64,18,650
65,19,660
66,18,670
67,14,680
68,7,690
69,12,700
70,12,710
71,7,720
72,13,730
73,8,740
74,5,750
75,12,760
76,2,770
77,10,780
78,5,790
79,9,800
80,4,810
81,4,820
82,6,830
83,1,840
84,3,850
85,2,860
86,1,870
87,2,880
89,1,900
91,1,920
92,1,930
94,2,950
101,1,980
112,1,1020